Country or territory of asylum or residence,Country or territory of origin,Year,Refugees*,Refugees assisted by UNHCR,Total refugees and people in refugee-like situations**,Total refugees and people in refugee-like situations assisted by UNHCR,Total Administrative Cost for Host Country
Dem. Rep. of the Congo,"Congo, Republic of",2021,645,645,645,645,12900000
Dem. Rep. of the Congo,Côte d'Ivoire,2021,7,7,7,7,140000
Dem. Rep. of the Congo,Eritrea,2021,6,6,6,6,120000
Dem. Rep. of the Congo,Liberia,2021,5,5,5,5,100000
Dem. Rep. of the Congo,Rwanda,2021,213331,75213,213331,75213,4266620000
Dem. Rep. of the Congo,Somalia,2021,14,14,14,14,280000
Dem. Rep. of the Congo,South Sudan,2021,55819,55819,55819,55819,1116380000
Dem. Rep. of the Congo,Sudan,2021,34,34,34,34,680000
Dem. Rep. of the Congo,Syrian Arab Rep.,2021,8,8,8,8,160000
Dem. Rep. of the Congo,Uganda,2021,26,26,26,26,520000
Greece,Afghanistan,2021,25188,0,25188,0,503760000
Denmark,Armenia,2021,78,0,78,0,1560000
Denmark,Azerbaijan,2021,31,0,31,0,620000
Denmark,Bangladesh,2021,17,0,17,0,340000
Denmark,Belarus,2021,5,0,5,0,100000
Denmark,Bosnia and Herzegovina,2021,5,0,5,0,100000
Denmark,Burundi,2021,5,0,5,0,100000
Denmark,Cameroon,2021,8,0,8,0,160000
Denmark,China,2021,18,0,18,0,360000
Denmark,Colombia,2021,5,0,5,0,100000
Denmark,Côte d'Ivoire,2021,14,0,14,0,280000
Denmark,Dem. People's Rep. of Korea,2021,5,0,5,0,100000
Denmark,Dem. Rep. of the Congo,2021,68,0,68,0,1360000
Denmark,Egypt,2021,17,0,17,0,340000
Denmark,El Salvador,2021,5,0,5,0,100000
Denmark,Eritrea,2021,5634,0,5634,0,112680000
Denmark,Ethiopia,2021,94,0,94,0,1880000
Denmark,Gambia,2021,5,0,5,0,100000
Denmark,Ghana,2021,5,0,5,0,100000
Denmark,Guinea-Bissau,2021,5,0,5,0,100000
Denmark,India,2021,5,0,5,0,100000
Denmark,Iran (Islamic Rep. of),2021,2931,0,2931,0,58620000
Denmark,Iraq,2021,283,0,283,0,5660000
Denmark,Kenya,2021,5,0,5,0,100000
Denmark,Kyrgyzstan,2021,5,0,5,0,100000
Denmark,Lebanon,2021,30,0,30,0,600000
Denmark,Libya,2021,5,0,5,0,100000
Denmark,Morocco,2021,9,0,9,0,180000
Denmark,Myanmar,2021,17,0,17,0,340000
Denmark,Nepal,2021,5,0,5,0,100000
Denmark,Nicaragua,2021,9,0,9,0,180000
Denmark,Nigeria,2021,10,0,10,0,200000
Denmark,Pakistan,2021,67,0,67,0,1340000
Denmark,Russian Federation,2021,689,0,689,0,13780000
Denmark,Rwanda,2021,13,0,13,0,260000
Denmark,Somalia,2021,1345,0,1345,0,26900000
Denmark,Sri Lanka,2021,39,0,39,0,780000
Denmark,State of Palestine,2021,6,0,6,0,120000
Denmark,Stateless,2021,2954,0,2954,0,59080000
Denmark,Sudan,2021,58,0,58,0,1160000
Denmark,Syrian Arab Rep.,2021,19833,0,19833,0,396660000
Denmark,Tajikistan,2021,6,0,6,0,120000
Denmark,Thailand,2021,5,0,5,0,100000
Denmark,Turkey,2021,20,0,20,0,400000
Denmark,Uganda,2021,73,0,73,0,1460000
Denmark,Ukraine,2021,29,0,29,0,580000
Denmark,Uzbekistan,2021,9,0,9,0,180000
Denmark,Venezuela (Bolivarian Republic of),2021,5,0,5,0,100000
Denmark,Yemen,2021,7,0,7,0,140000
Denmark,Zambia,2021,5,0,5,0,100000
Denmark,Zimbabwe,2021,8,0,8,0,160000
Djibouti,Dem. Rep. of the Congo,2021,5,5,5,5,100000
Djibouti,Eritrea,2021,544,544,544,544,10880000
Djibouti,Ethiopia,2021,1699,1699,1699,1699,33980000
Djibouti,Iraq,2021,19,19,19,19,380000
Djibouti,Somalia,2021,13866,13866,13866,13866,277320000
Djibouti,Sudan,2021,8,8,8,8,160000
Djibouti,Syrian Arab Rep.,2021,10,10,10,10,200000
Djibouti,Yemen,2021,5972,5972,5972,5972,119440000
Dominican Rep.,Haiti,2021,162,162,162,162,3240000
Hungary,Afghanistan,2021,1481,0,1481,0,29620000
Ecuador,Albania,2021,6,0,6,0,120000
Ecuador,Angola,2021,5,0,5,0,100000
Ecuador,Bangladesh,2021,5,0,5,0,100000
Ecuador,Brazil,2021,5,0,5,0,100000
Ecuador,Burkina Faso,2021,5,0,5,0,100000
Ecuador,Cameroon,2021,20,6,20,6,400000
Ecuador,Chile,2021,6,0,6,0,120000
Ecuador,China,2021,12,5,12,5,240000
Ecuador,Colombia,2021,53707,16112,53707,16112,1074140000
Ecuador,"Congo, Republic of",2021,5,0,5,0,100000
Ecuador,Cuba,2021,214,64,214,64,4280000
Ecuador,Dem. Rep. of the Congo,2021,8,0,8,0,160000
Ecuador,Dominican Rep.,2021,5,0,5,0,100000
Ecuador,El Salvador,2021,27,8,27,8,540000
Ecuador,Eritrea,2021,11,5,11,5,220000
Ecuador,Ethiopia,2021,5,0,5,0,100000
Ecuador,Ghana,2021,5,0,5,0,100000
Ecuador,Guinea,2021,9,5,9,5,180000
Ecuador,Haiti,2021,21,6,21,6,420000
Ecuador,India,2021,5,0,5,0,100000
Ecuador,Iran (Islamic Rep. of),2021,63,19,63,19,1260000
Ecuador,Iraq,2021,56,17,56,17,1120000
Ecuador,Lebanon,2021,19,6,19,6,380000
Ecuador,Liberia,2021,6,0,6,0,120000
Ecuador,Mali,2021,5,0,5,0,100000
Ecuador,Morocco,2021,5,0,5,0,100000
Ecuador,Nepal,2021,5,0,5,0,100000
Ecuador,Nicaragua,2021,5,0,5,0,100000
Ecuador,Nigeria,2021,39,12,39,12,780000
Ecuador,Pakistan,2021,29,9,29,9,580000
Ecuador,Panama,2021,5,0,5,0,100000
Ecuador,Peru,2021,82,25,82,25,1640000
Ecuador,Russian Federation,2021,36,11,36,11,720000
Ecuador,Rwanda,2021,5,0,5,0,100000
Ecuador,Saudi Arabia,2021,8,0,8,0,160000
Ecuador,Somalia,2021,8,0,8,0,160000
Ecuador,Spain,2021,5,0,5,0,100000
Ecuador,Sri Lanka,2021,18,5,18,5,360000
Ecuador,State of Palestine,2021,9,5,9,5,180000
Ecuador,Sudan,2021,5,0,5,0,100000
Ecuador,Syrian Arab Rep.,2021,141,42,141,42,2820000
Ecuador,Turkey,2021,5,0,5,0,100000
Ecuador,Ukraine,2021,15,5,15,5,300000
Ecuador,United Arab Emirates,2021,5,0,5,0,100000
Ecuador,United States of America,2021,8,0,8,0,160000
Ecuador,Unknown/other,2021,26,8,26,8,520000
Ecuador,Uzbekistan,2021,5,0,5,0,100000
Ecuador,Venezuela (Bolivarian Republic of),2021,442,133,442,133,8840000
Ecuador,Viet Nam,2021,5,0,5,0,100000
Ecuador,Western Sahara,2021,5,0,5,0,100000
Ecuador,Yemen,2021,116,35,116,35,2320000
Ecuador,Zimbabwe,2021,6,0,6,0,120000
Iceland,Afghanistan,2021,124,0,124,0,2480000
Egypt,Burundi,2021,56,56,56,56,1120000
Egypt,Cameroon,2021,18,18,18,18,360000
Egypt,Central African Rep.,2021,42,42,42,42,840000
Egypt,Chad,2021,58,58,58,58,1160000
Egypt,"Congo, Republic of",2021,14,14,14,14,280000
Egypt,Côte d'Ivoire,2021,93,93,93,93,1860000
Egypt,Dem. Rep. of the Congo,2021,47,47,47,47,940000
Egypt,Djibouti,2021,18,18,18,18,360000
Egypt,Eritrea,2021,13950,13950,13950,13950,279000000
Egypt,Ethiopia,2021,5478,5478,5478,5478,109560000
Egypt,Guinea,2021,11,11,11,11,220000
Egypt,Iraq,2021,4652,4652,4652,4652,93040000
Egypt,Jordan,2021,10,10,10,10,200000
Egypt,Kenya,2021,8,8,8,8,160000
Egypt,Libya,2021,5,5,5,5,100000
Egypt,Nigeria,2021,23,23,23,23,460000
Egypt,Russian Federation,2021,8,8,8,8,160000
Egypt,Rwanda,2021,5,5,5,5,100000
Egypt,Saudi Arabia,2021,15,15,15,15,300000
Egypt,Sierra Leone,2021,5,5,5,5,100000
Egypt,Somalia,2021,4708,4708,4708,4708,94160000
Egypt,South Sudan,2021,18539,18539,18539,18539,370780000
Egypt,State of Palestine,2021,70022,22,70022,22,1400440000
Egypt,Stateless,2021,5,5,5,5,100000
Egypt,Sudan,2021,26036,26036,26036,26036,520720000
Egypt,Syrian Arab Rep.,2021,133568,133568,133568,133568,2671360000
Egypt,Tajikistan,2021,12,12,12,12,240000
Egypt,Tunisia,2021,5,5,5,5,100000
Egypt,Turkmenistan,2021,5,5,5,5,100000
Egypt,Uganda,2021,13,13,13,13,260000
Egypt,Yemen,2021,152,152,152,152,3040000
Egypt,Zimbabwe,2021,43,43,43,43,860000
El Salvador,Colombia,2021,5,5,5,5,100000
El Salvador,Honduras,2021,12,12,12,12,240000
El Salvador,Nicaragua,2021,5,5,5,5,100000
El Salvador,United States of America,2021,5,5,5,5,100000
El Salvador,Venezuela (Bolivarian Republic of),2021,5,5,5,5,100000
Eritrea,Ethiopia,2021,15,15,15,15,300000
Eritrea,South Sudan,2021,7,7,7,7,140000
Eritrea,Sudan,2021,99,99,99,99,1980000
Ireland,Afghanistan,2021,431,0,431,0,8620000
Estonia,Azerbaijan,2021,5,0,5,0,100000
Estonia,Egypt,2021,5,0,5,0,100000
Estonia,Eritrea,2021,10,0,10,0,200000
Estonia,Georgia,2021,5,0,5,0,100000
Estonia,Iran (Islamic Rep. of),2021,6,0,6,0,120000
Estonia,Iraq,2021,17,0,17,0,340000
Estonia,Pakistan,2021,5,0,5,0,100000
Estonia,Russian Federation,2021,45,0,45,0,900000
Estonia,Serbia and Kosovo: S/RES/1244 (1999),2021,6,0,6,0,120000
Estonia,Sri Lanka,2021,5,0,5,0,100000
Estonia,Sudan,2021,15,0,15,0,300000
Estonia,Syrian Arab Rep.,2021,103,0,103,0,2060000
Estonia,Turkey,2021,22,0,22,0,440000
Estonia,Ukraine,2021,27,0,27,0,540000
Estonia,Yemen,2021,5,0,5,0,100000
Eswatini,Angola,2021,13,13,13,13,260000
Eswatini,Burundi,2021,182,182,182,182,3640000
Eswatini,"Congo, Republic of",2021,25,25,25,25,500000
Eswatini,Dem. Rep. of the Congo,2021,404,404,404,404,8080000
Eswatini,Ethiopia,2021,15,15,15,15,300000
Eswatini,Guinea,2021,5,5,5,5,100000
Eswatini,Kenya,2021,5,5,5,5,100000
Eswatini,Rwanda,2021,195,195,195,195,3900000
Eswatini,Somalia,2021,121,121,121,121,2420000
Eswatini,Sri Lanka,2021,5,5,5,5,100000
Eswatini,Uganda,2021,6,6,6,6,120000
Eswatini,Zimbabwe,2021,11,11,11,11,220000
Ethiopia,Burundi,2021,51,51,51,51,1020000
Ethiopia,Côte d'Ivoire,2021,5,5,5,5,100000
Ethiopia,Cuba,2021,5,5,5,5,100000
Ethiopia,Dem. Rep. of the Congo,2021,746,746,746,746,14920000
Ethiopia,Djibouti,2021,53,53,53,53,1060000
Ethiopia,Egypt,2021,5,5,5,5,100000
Ethiopia,Eritrea,2021,145531,145531,145531,145531,2910620000
Ethiopia,Iraq,2021,10,10,10,10,200000
Ethiopia,Kenya,2021,4033,4033,4033,4033,80660000
Ethiopia,Rwanda,2021,11,11,11,11,220000
Ethiopia,Somalia,2021,211676,211676,211676,211676,4233520000
Ethiopia,South Sudan,2021,373646,373646,373646,373646,7472920000
Ethiopia,Sudan,2021,44919,44919,44919,44919,898380000
Ethiopia,Syrian Arab Rep.,2021,8,8,8,8,160000
Ethiopia,Uganda,2021,11,11,11,11,220000
Ethiopia,Yemen,2021,2186,2186,2186,2186,43720000
Italy,Afghanistan,2021,12962,0,12962,0,259240000
Fiji,Pakistan,2021,5,5,5,5,100000
Japan,Afghanistan,2021,73,0,73,0,1460000
Finland,Albania,2021,5,0,5,0,100000
Finland,Algeria,2021,8,0,8,0,160000
Finland,Angola,2021,75,0,75,0,1500000
Finland,Azerbaijan,2021,67,0,67,0,1340000
Finland,Bangladesh,2021,27,0,27,0,540000
Finland,Belarus,2021,13,0,13,0,260000
Finland,Brazil,2021,5,0,5,0,100000
Finland,Burkina Faso,2021,5,0,5,0,100000
Finland,Burundi,2021,5,0,5,0,100000
Finland,Cambodia,2021,5,0,5,0,100000
Finland,Cameroon,2021,120,0,120,0,2400000
Finland,Central African Rep.,2021,6,0,6,0,120000
Finland,China,2021,188,0,188,0,3760000
Finland,"Congo, Republic of",2021,6,0,6,0,120000
Finland,Côte d'Ivoire,2021,8,0,8,0,160000
Finland,Cuba,2021,5,0,5,0,100000
Finland,Dem. Rep. of the Congo,2021,105,0,105,0,2100000
Finland,Dominican Rep.,2021,5,0,5,0,100000
Finland,Egypt,2021,26,0,26,0,520000
Finland,El Salvador,2021,10,0,10,0,200000
Finland,Eritrea,2021,862,0,862,0,17240000
Finland,Ethiopia,2021,148,0,148,0,2960000
Finland,Gambia,2021,29,0,29,0,580000
Finland,Georgia,2021,5,0,5,0,100000
Finland,Ghana,2021,41,0,41,0,820000
Finland,Guatemala,2021,5,0,5,0,100000
Finland,Guinea,2021,24,0,24,0,480000
Finland,Honduras,2021,28,0,28,0,560000
Finland,India,2021,5,0,5,0,100000
Finland,Indonesia,2021,5,0,5,0,100000
Finland,Iran (Islamic Rep. of),2021,946,0,946,0,18920000
Finland,Iraq,2021,9053,0,9053,0,181060000
Finland,Jordan,2021,6,0,6,0,120000
Finland,Kazakhstan,2021,10,0,10,0,200000
Finland,Kenya,2021,17,0,17,0,340000
Finland,Kyrgyzstan,2021,19,0,19,0,380000
Finland,Lebanon,2021,13,0,13,0,260000
Finland,Liberia,2021,5,0,5,0,100000
Finland,Libya,2021,33,0,33,0,660000
Finland,Mali,2021,7,0,7,0,140000
Finland,Morocco,2021,41,0,41,0,820000
Finland,Myanmar,2021,32,0,32,0,640000
Finland,Nicaragua,2021,61,0,61,0,1220000
Finland,Nigeria,2021,141,0,141,0,2820000
Finland,Pakistan,2021,74,0,74,0,1480000
Finland,Rep. of Moldova,2021,6,0,6,0,120000
Finland,Russian Federation,2021,870,0,870,0,17400000
Finland,Rwanda,2021,35,0,35,0,700000
Finland,Senegal,2021,5,0,5,0,100000
Finland,Serbia and Kosovo: S/RES/1244 (1999),2021,41,0,41,0,820000
Finland,Sierra Leone,2021,5,0,5,0,100000
Finland,Somalia,2021,2536,0,2536,0,50720000
Finland,South Sudan,2021,8,0,8,0,160000
Finland,Sri Lanka,2021,36,0,36,0,720000
Finland,Stateless,2021,422,0,422,0,8440000
Finland,Sudan,2021,50,0,50,0,1000000
Finland,Syrian Arab Rep.,2021,2633,0,2633,0,52660000
Finland,Tajikistan,2021,7,0,7,0,140000
Finland,Togo,2021,5,0,5,0,100000
Finland,Tunisia,2021,5,0,5,0,100000
Finland,Turkey,2021,784,0,784,0,15680000
Finland,Uganda,2021,35,0,35,0,700000
Finland,Ukraine,2021,11,0,11,0,220000
Finland,United Rep. of Tanzania,2021,5,0,5,0,100000
Finland,Unknown/other,2021,136,0,136,0,2720000
Finland,Uzbekistan,2021,10,0,10,0,200000
Finland,Venezuela (Bolivarian Republic of),2021,7,0,7,0,140000
Finland,Viet Nam,2021,8,0,8,0,160000
Finland,Yemen,2021,300,0,300,0,6000000
Finland,Zimbabwe,2021,6,0,6,0,120000
Kyrgyzstan,Afghanistan,2021,209,0,209,0,4180000
France,Albania,2021,6462,0,6462,0,129240000
France,Algeria,2021,2234,0,2234,0,44680000
France,Angola,2021,3883,0,3883,0,77660000
France,Argentina,2021,9,0,9,0,180000
France,Armenia,2021,4293,0,4293,0,85860000
France,Azerbaijan,2021,3006,0,3006,0,60120000
France,Bahrain,2021,10,0,10,0,200000
France,Bangladesh,2021,6947,0,6947,0,138940000
France,Belarus,2021,553,0,553,0,11060000
France,Benin,2021,120,0,120,0,2400000
France,Bhutan,2021,129,0,129,0,2580000
France,Bolivia (Plurinational State of),2021,39,0,39,0,780000
France,Bosnia and Herzegovina,2021,4101,0,4101,0,82020000
France,Brazil,2021,40,0,40,0,800000
France,Bulgaria,2021,66,0,66,0,1320000
France,Burkina Faso,2021,387,0,387,0,7740000
France,Burundi,2021,1395,0,1395,0,27900000
France,Cambodia,2021,10849,0,10849,0,216980000
France,Cameroon,2021,1972,0,1972,0,39440000
France,Central African Rep.,2021,3803,0,3803,0,76060000
France,Chad,2021,2233,0,2233,0,44660000
France,Chile,2021,67,0,67,0,1340000
France,China,2021,8519,0,8519,0,170380000
France,Colombia,2021,725,0,725,0,14500000
France,Comoros,2021,776,0,776,0,15520000
France,"Congo, Republic of",2021,3856,0,3856,0,77120000
France,Costa Rica,2021,5,0,5,0,100000
France,Côte d'Ivoire,2021,8338,0,8338,0,166760000
France,Croatia,2021,56,0,56,0,1120000
France,Cuba,2021,258,0,258,0,5160000
France,Czechia,2021,24,0,24,0,480000
France,Dem. Rep. of the Congo,2021,19007,0,19007,0,380140000
France,Djibouti,2021,384,0,384,0,7680000
France,Dominica,2021,5,0,5,0,100000
France,Dominican Rep.,2021,104,0,104,0,2080000
France,Ecuador,2021,23,0,23,0,460000
France,Egypt,2021,1175,0,1175,0,23500000
France,El Salvador,2021,84,0,84,0,1680000
France,Equatorial Guinea,2021,45,0,45,0,900000
France,Eritrea,2021,8218,0,8218,0,164360000
France,Estonia,2021,5,0,5,0,100000
France,Ethiopia,2021,2229,0,2229,0,44580000
France,Gabon,2021,328,0,328,0,6560000
France,Gambia,2021,405,0,405,0,8100000
France,Georgia,2021,3752,0,3752,0,75040000
France,Germany,2021,5,0,5,0,100000
France,Ghana,2021,530,0,530,0,10600000
France,Guatemala,2021,19,0,19,0,380000
France,Guinea,2021,15090,0,15090,0,301800000
France,Guinea-Bissau,2021,914,0,914,0,18280000
France,Guyana,2021,19,0,19,0,380000
France,Haiti,2021,4410,0,4410,0,88200000
France,Honduras,2021,35,0,35,0,700000
France,Hungary,2021,54,0,54,0,1080000
France,India,2021,253,0,253,0,5060000
France,Indonesia,2021,8,0,8,0,160000
France,Iran (Islamic Rep. of),2021,3268,0,3268,0,65360000
France,Iraq,2021,9328,0,9328,0,186560000
France,Israel,2021,8,0,8,0,160000
France,Jamaica,2021,19,0,19,0,380000
France,Jordan,2021,32,0,32,0,640000
France,Kazakhstan,2021,665,0,665,0,13300000
France,Kenya,2021,151,0,151,0,3020000
France,Kuwait,2021,291,0,291,0,5820000
France,Kyrgyzstan,2021,323,0,323,0,6460000
France,Lao People's Dem. Rep.,2021,6371,0,6371,0,127420000
France,Latvia,2021,32,0,32,0,640000
France,Lebanon,2021,197,0,197,0,3940000
France,Liberia,2021,258,0,258,0,5160000
France,Libya,2021,1522,0,1522,0,30440000
France,Lithuania,2021,6,0,6,0,120000
France,Madagascar,2021,243,0,243,0,4860000
France,Malaysia,2021,17,0,17,0,340000
France,Maldives,2021,5,0,5,0,100000
France,Mali,2021,5908,0,5908,0,118160000
France,Mauritania,2021,6074,0,6074,0,121480000
France,Mauritius,2021,31,0,31,0,620000
France,Mexico,2021,27,0,27,0,540000
France,Mongolia,2021,525,0,525,0,10500000
France,Montenegro,2021,97,0,97,0,1940000
France,Morocco,2021,1037,0,1037,0,20740000
France,Mozambique,2021,12,0,12,0,240000
France,Myanmar,2021,318,0,318,0,6360000
France,Nepal,2021,164,0,164,0,3280000
France,Nicaragua,2021,52,0,52,0,1040000
France,Niger,2021,138,0,138,0,2760000
France,Nigeria,2021,4060,0,4060,0,81200000
France,North Macedonia,2021,398,0,398,0,7960000
France,Pakistan,2021,2176,0,2176,0,43520000
France,Paraguay,2021,6,0,6,0,120000
France,Peru,2021,361,0,361,0,7220000
France,Philippines,2021,5,0,5,0,100000
France,Poland,2021,130,0,130,0,2600000
France,Rep. of Moldova,2021,332,0,332,0,6640000
France,Romania,2021,140,0,140,0,2800000
France,Russian Federation,2021,16995,0,16995,0,339900000
France,Rwanda,2021,3104,0,3104,0,62080000
France,Saint Lucia,2021,5,0,5,0,100000
France,Sao Tome and Principe,2021,5,0,5,0,100000
France,Saudi Arabia,2021,36,0,36,0,720000
France,Senegal,2021,2214,0,2214,0,44280000
France,Serbia and Kosovo: S/RES/1244 (1999),2021,14296,0,14296,0,285920000
France,Sierra Leone,2021,811,0,811,0,16220000
France,Slovakia,2021,102,0,102,0,2040000
France,Somalia,2021,6649,0,6649,0,132980000
France,South Africa,2021,91,0,91,0,1820000
France,South Sudan,2021,147,0,147,0,2940000
France,Sri Lanka,2021,23980,0,23980,0,479600000
France,State of Palestine,2021,1310,0,1310,0,26200000
France,Stateless,2021,124,0,124,0,2480000
France,Sudan,2021,21070,0,21070,0,421400000
France,Suriname,2021,5,0,5,0,100000
France,Syrian Arab Rep.,2021,23510,0,23510,0,470200000
France,Tajikistan,2021,74,0,74,0,1480000
France,Thailand,2021,14,0,14,0,280000
France,Togo,2021,798,0,798,0,15960000
France,Tunisia,2021,432,0,432,0,8640000
France,Turkey,2021,13180,0,13180,0,263600000
France,Turkmenistan,2021,24,0,24,0,480000
France,Uganda,2021,176,0,176,0,3520000
France,Ukraine,2021,1996,0,1996,0,39920000
France,United Arab Emirates,2021,5,0,5,0,100000
France,United Rep. of Tanzania,2021,11,0,11,0,220000
France,Unknown/other,2021,100932,0,100932,0,2018640000
France,Uzbekistan,2021,203,0,203,0,4060000
France,Venezuela (Bolivarian Republic of),2021,996,0,996,0,19920000
France,Viet Nam,2021,7628,0,7628,0,152560000
France,Western Sahara,2021,777,0,777,0,15540000
France,Yemen,2021,670,0,670,0,13400000
France,Zambia,2021,5,0,5,0,100000
France,Zimbabwe,2021,51,0,51,0,1020000
Gabon,Burundi,2021,6,6,6,6,120000
Gabon,Cameroon,2021,5,5,5,5,100000
Gabon,Central African Rep.,2021,19,19,19,19,380000
Gabon,Chad,2021,127,127,127,127,2540000
Gabon,"Congo, Republic of",2021,67,67,67,67,1340000
Gabon,Dem. Rep. of the Congo,2021,74,74,74,74,1480000
Gabon,Mauritania,2021,6,6,6,6,120000
Gabon,Sao Tome and Principe,2021,23,23,23,23,460000
Gabon,Togo,2021,6,6,6,6,120000
Gambia,Central African Rep.,2021,8,8,8,8,160000
Gambia,"Congo, Republic of",2021,6,6,6,6,120000
Gambia,Côte d'Ivoire,2021,150,150,150,150,3000000
Gambia,Dem. Rep. of the Congo,2021,60,60,60,60,1200000
Gambia,Guinea,2021,5,5,5,5,100000
Gambia,Liberia,2021,15,15,15,15,300000
Gambia,Rwanda,2021,5,5,5,5,100000
Gambia,Senegal,2021,4045,4045,4045,4045,80900000
Gambia,Sierra Leone,2021,107,107,107,107,2140000
Gambia,Togo,2021,18,18,18,18,360000
Latvia,Afghanistan,2021,62,0,62,0,1240000
Georgia,Azerbaijan,2021,5,0,5,0,100000
Georgia,Dem. Rep. of the Congo,2021,5,0,5,0,100000
Georgia,Egypt,2021,64,7,64,7,1280000
Georgia,Eritrea,2021,5,0,5,0,100000
Georgia,Iran (Islamic Rep. of),2021,39,14,39,14,780000
Georgia,Iraq,2021,404,109,404,109,8080000
Georgia,Lebanon,2021,6,0,6,0,120000
Georgia,Pakistan,2021,11,0,11,0,220000
Georgia,Russian Federation,2021,236,5,236,5,4720000
Georgia,Sudan,2021,6,0,6,0,120000
Georgia,Syrian Arab Rep.,2021,91,19,439,210,1820000
Georgia,Tajikistan,2021,5,5,5,5,100000
Georgia,Ukraine,2021,236,5,493,53,4720000
Georgia,Unknown/other,2021,16,0,16,0,320000
Georgia,Yemen,2021,50,7,50,7,1000000
Lebanon,Afghanistan,2021,13,0,13,0,260000
Germany,Albania,2021,1283,0,1283,0,25660000
Germany,Algeria,2021,626,0,626,0,12520000
Germany,Angola,2021,800,0,800,0,16000000
Germany,Argentina,2021,16,0,16,0,320000
Germany,Armenia,2021,2706,0,2706,0,54120000
Germany,Australia,2021,5,0,5,0,100000
Germany,Austria,2021,5,0,5,0,100000
Germany,Azerbaijan,2021,3851,0,3851,0,77020000
Germany,Bahrain,2021,77,0,77,0,1540000
Germany,Bangladesh,2021,801,0,801,0,16020000
Germany,Belarus,2021,183,0,183,0,3660000
Germany,Belgium,2021,7,0,7,0,140000
Germany,Benin,2021,100,0,100,0,2000000
Germany,Bhutan,2021,20,0,20,0,400000
Germany,Bolivia (Plurinational State of),2021,6,0,6,0,120000
Germany,Bosnia and Herzegovina,2021,1332,0,1332,0,26640000
Germany,Botswana,2021,5,0,5,0,100000
Germany,Brazil,2021,37,0,37,0,740000
Germany,Bulgaria,2021,69,0,69,0,1380000
Germany,Burkina Faso,2021,108,0,108,0,2160000
Germany,Burundi,2021,120,0,120,0,2400000
Germany,Cambodia,2021,29,0,29,0,580000
Germany,Cameroon,2021,878,0,878,0,17560000
Germany,Canada,2021,25,0,25,0,500000
Germany,Central African Rep.,2021,52,0,52,0,1040000
Germany,Chad,2021,114,0,114,0,2280000
Germany,Chile,2021,158,0,158,0,3160000
Germany,China,2021,1988,0,1988,0,39760000
Germany,"China, Hong Kong SAR",2021,5,0,5,0,100000
Germany,Colombia,2021,73,0,73,0,1460000
Germany,"Congo, Republic of",2021,277,0,277,0,5540000
Germany,Côte d'Ivoire,2021,707,0,707,0,14140000
Germany,Croatia,2021,271,0,271,0,5420000
Germany,Cuba,2021,73,0,73,0,1460000
Germany,Czechia,2021,693,0,693,0,13860000
Germany,Dem. People's Rep. of Korea,2021,89,0,89,0,1780000
Germany,Dem. Rep. of the Congo,2021,1469,0,1469,0,29380000
Germany,Djibouti,2021,33,0,33,0,660000
Germany,Dominica,2021,5,0,5,0,100000
Germany,Dominican Rep.,2021,8,0,8,0,160000
Germany,Ecuador,2021,12,0,12,0,240000
Germany,Egypt,2021,2300,0,2300,0,46000000
Germany,El Salvador,2021,139,0,139,0,2780000
Germany,Equatorial Guinea,2021,27,0,27,0,540000
Germany,Eritrea,2021,62152,0,62152,0,1243040000
Germany,Eswatini,2021,5,0,5,0,100000
Germany,Ethiopia,2021,6057,0,6057,0,121140000
Germany,France,2021,15,0,15,0,300000
Germany,Gabon,2021,13,0,13,0,260000
Germany,Gambia,2021,1266,0,1266,0,25320000
Germany,Georgia,2021,691,0,691,0,13820000
Germany,Ghana,2021,633,0,633,0,12660000
Germany,Greece,2021,46,0,46,0,920000
Germany,Guatemala,2021,5,0,5,0,100000
Germany,Guinea,2021,3770,0,3770,0,75400000
Germany,Guinea-Bissau,2021,122,0,122,0,2440000
Germany,Haiti,2021,11,0,11,0,220000
Germany,Honduras,2021,76,0,76,0,1520000
Germany,Hungary,2021,227,0,227,0,4540000
Germany,Iceland,2021,5,0,5,0,100000
Germany,India,2021,402,0,402,0,8040000
Germany,Indonesia,2021,16,0,16,0,320000
Germany,Iran (Islamic Rep. of),2021,45704,0,45704,0,914080000
Germany,Iraq,2021,147400,0,147400,0,2948000000
Germany,Israel,2021,41,0,41,0,820000
Germany,Italy,2021,29,0,29,0,580000
Germany,Jamaica,2021,75,0,75,0,1500000
Germany,Japan,2021,23,0,23,0,460000
Germany,Jordan,2021,512,0,512,0,10240000
Germany,Kazakhstan,2021,112,0,112,0,2240000
Germany,Kenya,2021,167,0,167,0,3340000
Germany,Kuwait,2021,42,0,42,0,840000
Germany,Kyrgyzstan,2021,235,0,235,0,4700000
Germany,Lao People's Dem. Rep.,2021,41,0,41,0,820000
Germany,Latvia,2021,6,0,6,0,120000
Germany,Lebanon,2021,1817,0,1817,0,36340000
Germany,Liberia,2021,128,0,128,0,2560000
Germany,Libya,2021,2703,0,2703,0,54060000
Germany,Lithuania,2021,5,0,5,0,100000
Germany,Malawi,2021,7,0,7,0,140000
Germany,Malaysia,2021,19,0,19,0,380000
Germany,Mali,2021,363,0,363,0,7260000
Germany,Mauritania,2021,61,0,61,0,1220000
Germany,Mauritius,2021,5,0,5,0,100000
Germany,Mexico,2021,22,0,22,0,440000
Germany,Mongolia,2021,228,0,228,0,4560000
