Div,Date,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoal,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP
F1,08/09/2001,Lille,Guingamp,1,0,H,0,0,D,1.95,3.3,3.4,1.6,3.2,4.2,1.61,3.2,5.5,1.67,3.25,4.6,1.67,3.25,4.5,1.57,3.5,5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,08/09/2001,Marseille,Lyon,0,0,D,0,0,D,1.95,3.3,3.4,2.5,2.7,2.5,2.5,3.25,2.37,2.6,3,2.5,2.5,3.1,2.5,2.62,3.1,2.37,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,08/09/2001,Metz,Bastia,0,1,A,0,1,A,1.95,3.3,3.4,2.1,2.8,3,2.1,3.2,3,2.2,3,3,2.1,3.1,3.1,2.1,3.2,3,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,08/09/2001,Monaco,Troyes,2,0,H,1,0,H,1.95,3.3,3.4,1.55,3.3,4.5,1.73,3.4,4,1.85,3.25,3.6,1.73,3.2,4.33,1.8,3.3,3.75,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,08/09/2001,Nantes,Sedan,1,1,D,0,0,D,1.95,3.3,3.4,1.8,2.9,3.6,1.73,3.2,4.33,1.85,3.25,3.6,1.8,3.25,3.75,1.72,3.25,4.2,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,08/09/2001,Paris SG,Lens,2,2,D,0,1,A,1.95,3.3,3.4,1.8,2.9,3.6,1.8,3.2,4,1.8,3.2,4,1.73,3.2,4.33,1.72,3.2,4.33,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,08/09/2001,Rennes,Lorient,1,1,D,0,0,D,1.95,3.3,3.4,1.7,3.1,3.8,1.73,3.2,4.33,1.8,3.1,4,1.8,3.25,3.75,1.66,3.3,4.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,09/09/2001,Sochaux,Bordeaux,2,0,H,1,0,H,1.95,3.3,3.4,2.5,2.7,2.5,2.5,3.2,2.5,2.5,3,2.6,2.5,2.88,2.62,2.5,3.1,2.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,15/09/2001,Bastia,Auxerre,0,1,A,0,0,D,1.95,3.3,3.4,2.2,2.8,2.8,2.37,3.25,2.5,2.2,3.1,2.88,2.25,3,2.88,2.2,3.1,2.87,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,15/09/2001,Guingamp,Metz,0,2,A,0,0,D,1.95,3.3,3.4,1.7,3.1,3.8,2,3.2,3.2,1.73,3.25,4.2,1.8,3.25,3.75,1.72,3.2,4.33,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,15/09/2001,Lens,Sochaux,3,0,H,2,0,H,1.95,3.3,3.4,1.6,3,4.5,1.61,3.25,5,1.62,3.4,4.75,1.73,3.2,4.33,1.57,3.5,5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,15/09/2001,Lorient,Paris SG,1,1,D,0,0,D,1.95,3.3,3.4,2.7,2.7,2.3,2.75,3,2.37,2.7,3.1,2.3,2.6,3.1,2.4,2.62,3.1,2.37,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,15/09/2001,Lyon,Nantes,4,1,H,2,1,H,1.95,3.3,3.4,1.55,3.3,4.5,1.61,3.25,5,1.6,3.4,5,1.57,3.5,5,1.61,3.3,5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,15/09/2001,Montpellier,Rennes,0,0,D,0,0,D,1.95,3.3,3.4,2.1,2.8,3,2.25,3.2,2.75,2.1,3.1,3.1,2.2,3,3,2.1,3.1,3.1,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,15/09/2001,Troyes,Lille,0,1,A,0,0,D,1.95,3.3,3.4,2.3,2.6,2.8,2.25,3.2,2.75,2.1,3.1,3,2.3,3,2.8,2,3.1,3.3,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,16/09/2001,Bordeaux,Monaco,0,0,D,0,0,D,1.95,3.3,3.4,1.9,2.8,3.3,2,3.2,3.2,1.91,3.2,3.5,1.83,3.2,3.75,1.8,3.1,4,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,16/09/2001,Sedan,Marseille,1,1,D,1,1,D,1.95,3.3,3.4,1.9,3.1,3.75,2.25,3.2,2.75,1.909,3.2,3.5,1.909,3.25,3.4,2,3.3,3.25,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,21/09/2001,Paris SG,Montpellier,0,0,D,0,0,D,1.95,3.3,3.4,1.45,3.5,5,1.44,3.4,7.5,1.5,3.4,6,2,3.4,3.25,1.44,3.5,7,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,22/09/2001,Auxerre,Guingamp,2,2,D,0,0,D,1.95,3.3,3.4,1.55,3.3,4.5,1.57,3.25,5.5,1.5,3.4,6,2,3.4,3.25,1.53,3.4,5.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,22/09/2001,Lille,Bastia,2,1,H,0,0,D,1.95,3.3,3.4,1.65,3.1,4,1.73,3.2,4.33,1.73,3.2,4.33,2,3.4,3.25,1.66,3.1,5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,22/09/2001,Marseille,Nantes,2,0,H,0,0,D,1.95,3.3,3.4,2,2.7,3.2,2,3.2,3.2,2.1,3,3.2,2,3.4,3.25,2,3,3.4,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,22/09/2001,Metz,Lyon,2,0,H,1,0,H,1.95,3.3,3.4,2.7,2.7,2.3,2.75,3.2,2.25,2.75,3.1,2.3,2,3.4,3.25,3.1,2.87,2.2,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,22/09/2001,Monaco,Lens,3,0,H,1,0,H,1.95,3.3,3.4,2.1,2.8,3,2.4,3.25,2.5,2.25,3.1,2.8,2,3.4,3.25,2.2,3,3,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,22/09/2001,Rennes,Troyes,0,1,A,0,0,D,1.95,3.3,3.4,1.75,3.1,3.6,1.73,3.2,4.33,1.9,3.1,3.6,2,3.4,3.25,1.83,3.2,3.75,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,23/09/2001,Lorient,Bordeaux,0,2,A,0,0,D,1.95,3.3,3.4,2.5,2.7,2.5,2.5,3.2,2.5,2.38,3,2.75,2,3.4,3.25,2.37,3,2.7,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,23/09/2001,Sochaux,Sedan,3,0,H,1,0,H,1.95,3.3,3.4,2,2.7,3.2,1.8,3.2,4,1.91,3.1,3.6,2,3.4,3.25,1.9,3,3.75,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,29/09/2001,Bastia,Monaco,1,0,H,1,0,H,1.95,3.3,3.4,2.4,2.8,2.5,2.25,3.2,2.75,2.2,3,3,2,3.4,3.25,2.37,2.87,2.8,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,29/09/2001,Guingamp,Marseille,1,0,H,1,0,H,1.95,3.3,3.4,2.1,2.7,3.1,2.25,3.2,2.75,2.1,3,3.2,2,3.4,3.25,2.25,2.87,3,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,29/09/2001,Lens,Auxerre,1,1,D,1,1,D,1.95,3.3,3.4,2.1,2.7,3.1,2.1,3,3.2,2,3,3.4,2,3.4,3.25,1.9,2.87,4,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
